49: [3, 19, 25, 32, 37, 42, 45, 47, 63, 69]
50: [10, 11, 12, 23, 34, 50, 57, 60, 87, 99]
51: [0, 24, 25, 39, 40, 61, 63, 72, 75, 90]
52: [9, 10, 49, 63, 64, 66, 68, 69, 73, 74]
53: [13, 24, 28, 42, 61, 71, 86, 95, 96, 98]
54: [14, 16, 33, 35, 39, 44, 47, 77, 78, 81]
55: [12, 19, 22, 23, 24, 33, 35, 37, 50, 90]
56: [7, 10, 12, 13, 46, 49, 54, 62, 89, 91]
57: [3, 9, 28, 39, 41, 61, 64, 73, 83, 89]
58: [13, 13, 15, 21, 27, 27, 36, 42, 44, 52]
59: [17, 31, 35, 38, 51, 55, 55, 61, 79, 99]
60: [1, 30, 40, 43, 52, 57, 82, 85, 92, 94]
61: [9, 14, 21, 21, 29, 41, 50, 62, 62, 75]
62: [18, 27, 30, 35, 44, 67, 69, 71, 79, 95]
63: [12, 12, 17, 30, 42, 52, 74, 84, 89, 99]
64: [14, 32, 40, 42, 55, 57, 63, 77, 83, 88]
65: [2, 6, 13, 27, 42, 58, 62, 76, 86, 95]
66: [7, 10, 16, 22, 32, 47, 64, 75, 80, 89]
67: [22, 23, 26, 59, 63, 72, 82, 85, 96, 97]
68: [15, 25, 32, 39, 42, 64, 66, 67, 88, 97]
69: [0, 19, 32, 38, 39, 58, 71, 77, 77, 99]
70: [0, 9, 14, 33, 43, 49, 58, 59, 67, 73]
71: [7, 30, 51, 58, 62, 63, 70, 71, 72, 82]
72: [13, 26, 29, 33, 43, 52, 71, 78, 85, 97]
73: [10, 13, 14, 20, 26, 35, 53, 68, 72, 73]
74: [2, 42, 52, 61, 65, 65, 68, 69, 86, 86]
75: [0, 1, 7, 21, 32, 42, 75, 80, 82, 87]
76: [16, 28, 28, 32, 35, 37, 42, 60, 81, 99]
77: [0, 6, 11, 18, 24, 25, 30, 49, 79, 88]
78: [6, 7, 28, 33, 48, 51, 68, 86, 87, 99]
79: [0, 7, 31, 64, 72, 75, 80, 81, 85, 96]
80: [7, 8, 17, 26, 27, 36, 51, 73, 73, 95]
81: [0, 14, 34, 38, 43, 51, 82, 82, 92, 98]
82: [1, 11, 37, 38, 56, 59, 78, 81, 93, 95]
83: [8, 22, 36, 45, 47, 51, 66, 71, 92, 95]
84: [0, 3, 16, 24, 28, 29, 48, 53, 72, 97]
85: [0, 6, 16, 32, 32, 35, 54, 55, 64, 81]
86: [4, 6, 10, 25, 29, 39, 41, 46, 47, 65]
87: [4, 8, 22, 31, 32, 45, 50, 51, 52, 97]
88: [10, 14, 20, 22, 34, 49, 60, 63, 78, 97]
89: [7, 13, 14, 21, 56, 62, 68, 73, 78, 97]
90: [0, 9, 10, 11, 30, 37, 37, 61, 83, 95]
91: [3, 27, 33, 35, 37, 38, 45, 69, 70, 99]
92: [15, 27, 30, 53, 71, 73, 77, 78, 84, 91]
93: [1, 13, 23, 29, 36, 42, 51, 68, 76, 99]
94: [7, 12, 18, 44, 52, 66, 80, 84, 87, 91]
95: [3, 21, 24, 30, 52, 66, 66, 67, 85, 94]
96: [28, 37, 44, 48, 58, 59, 74, 81, 87, 92]
97: [6, 14, 15, 25, 60, 63, 74, 75, 84, 93]
98: [5, 6, 40, 41, 42, 56, 57, 71, 76, 94]
99: [19, 27, 29, 46, 49, 67, 73, 77, 78, 94]
